,n_n,f1
0,3.0,
1,4.038461538461538,
2,5.076923076923077,
3,6.115384615384616,
4,7.153846153846154,
5,8.192307692307693,
6,9.230769230769232,
7,10.26923076923077,
8,11.307692307692308,
9,12.346153846153847,
10,13.384615384615385,
11,14.423076923076923,
12,15.461538461538463,
13,16.5,
14,17.53846153846154,
15,18.57692307692308,
16,19.615384615384617,
17,20.653846153846157,
18,21.692307692307693,
19,22.730769230769234,
20,23.76923076923077,
21,24.80769230769231,
22,25.846153846153847,
23,26.884615384615387,
24,27.923076923076927,
25,28.961538461538463,
26,30.0,
